id,player,from,to,position,height,weight,birth_date,colleges
higgiro01,Rod Higgins,1983,1995,F,201,200,1960-01-31,Fresno State
higgise01,Sean Higgins,1991,1998,G-F,206,205,1968-12-30,Michigan
higgske01,Kenny Higgs,1979,1982,G,183,180,1955-01-31,LSU
highjo01,Johnny High,1980,1984,G,190,185,1957-04-25,Nevada
highsha01,Haywood Highsmith,2019,2023,F,201,220,1996-12-09,Wheeling University
hightwa01,Wayne Hightower,1963,1972,F-C,203,192,1940-01-14,Kansas
hilarne01,Nenê,2003,2019,F-C,211,250,1982-09-13,
hillar01,Armond Hill,1977,1984,G,193,190,1953-03-31,Princeton
hillcl01,Cleo Hill,1962,1962,G,185,185,1938-05-24,Winston-Salem State
hillga01,Gary Hill,1964,1965,G,193,185,1941-10-07,Oklahoma City University
hillge01,George Hill,2009,2023,G,193,188,1986-05-04,IUPUI
hillgr01,Grant Hill,1995,2013,F-G,203,225,1972-10-05,Duke
hilljo01,Jordan Hill,2010,2017,C-F,208,235,1987-07-27,Arizona
hillma01,Malcolm Hill,2022,2023,F,198,220,1995-10-26,Illinois
hillsi01,Simmie Hill,1970,1974,F,201,233,1946-11-14,"Wichita State, Cameron University, West Texas A&M University"
hillso01,Solomon Hill,2014,2022,F,198,226,1991-03-18,Arizona
hillst01,Steven Hill,2009,2009,C,213,248,1985-11-14,Arkansas
hillty01,Tyrone Hill,1991,2004,F,206,240,1968-03-19,Xavier
hillhar01,Art Hillhouse,1947,1948,C,201,220,1916-06-12,Long Island University
hillida01,Darrun Hilliard,2016,2018,G,198,205,1993-04-13,Villanova
hillmda01,Darnell Hillman,1972,1980,F-C,206,215,1949-08-29,San Jose State
hiltofr01,Fred Hilton,1972,1973,G-F,190,185,1948-01-15,Grambling State University
hinriki01,Kirk Hinrich,2004,2016,G,193,190,1981-01-02,Kansas
hinsoro01,Roy Hinson,1984,1991,F-C,206,210,1961-05-02,Rutgers University
hintona01,Nate Hinton,2021,2022,G,196,210,1999-06-08,Houston
hirscme01,Mel Hirsch,1947,1947,G,168,165,1921-07-31,Brooklyn College
hitchle01,Lew Hitch,1952,1957,F-C,203,200,1929-07-16,Kansas State
hitero01,Robert Hite,2007,2007,G,188,184,1984-01-12,Miami (FL)
hoardja01,Jaylen Hoard,2020,2022,F,203,216,1999-03-30,Wake Forest
hobsoda01,Darington Hobson,2012,2012,G,201,210,1987-09-29,New Mexico
hodgedo01,Donald Hodge,1992,1996,C,213,230,1969-02-25,Temple
hodgeju01,Julius Hodge,2006,2007,G,201,210,1983-11-18,NC State
hodgecr01,Craig Hodges,1983,1992,G,188,190,1960-06-27,Cal State Long Beach
hoefech01,Charlie Hoefer,1947,1948,G,175,158,1921-09-16,Queens College
hoffmpa01,Paul Hoffman,1948,1955,G-F,188,195,1925-04-12,Purdue
hogsebo01,Bob Hogsett,1967,1968,F,201,230,1941-01-29,Tennessee
hoguedu01,Paul Hogue,1963,1964,C,206,240,1940-04-28,Cincinnati
hoibefr01,Fred Hoiberg,1996,2005,G,193,203,1972-10-15,Iowa State
holcodo01,Doug Holcomb,1949,1949,F,193,200,1925-02-09,Wisconsin
holcora01,Randy Holcomb,2006,2006,F,206,225,1979-08-08,"Fresno State, San Diego State"
holidaa01,Aaron Holiday,2019,2023,G,183,185,1996-09-30,UCLA
holidjr01,Jrue Holiday,2010,2023,G,190,205,1990-06-12,UCLA
holidju01,Justin Holiday,2013,2023,F,198,180,1989-04-05,Washington
hollabr01,Brad Holland,1980,1982,G,190,180,1956-12-06,UCLA
hollajo01,Joe Holland,1950,1952,F,193,185,1925-09-26,Kentucky
hollajo02,John Holland,2018,2019,G-F,196,205,1988-11-06,Boston University
hollawi01,Wilbur Holland,1976,1979,G,183,175,1951-11-08,New Orleans
hollili01,Lionel Hollins,1976,1985,G,190,185,1953-10-19,Arizona State
holliry01,Ryan Hollins,2007,2016,C,213,240,1984-10-10,UCLA
hollies01,Essie Hollis,1979,1979,F,198,195,1955-05-16,St. Bonaventure
holliro01,Rondae Hollis-Jefferson,2016,2021,F,198,217,1995-01-03,Arizona
holmade01,Dennis Holman,1968,1968,G,190,175,1945-10-08,SMU
holmeri01,Richaun Holmes,2016,2023,C-F,208,235,1993-10-15,Bowling Green
holstji01,Jim Holstein,1953,1956,F-G,190,180,1930-09-24,Cincinnati
holtaw01,A.W. Holt,1971,1971,F,201,210,1946-08-26,Jackson State University
holtomi01,Michael Holton,1985,1990,G,193,185,1961-08-04,UCLA
holubdi01,Dick Holub,1948,1948,C,198,205,1921-10-29,Long Island University
holupjo01,Joe Holup,1957,1959,F,198,215,1934-02-26,George Washington
holzmre01,Red Holzman,1949,1954,G,178,175,1920-08-10,City College of New York
honeyje01,Jerald Honeycutt,1998,1999,F-G,206,245,1974-10-20,Tulane
